/System/Library/Frameworks/Python.framework/Versions/2.6/bin/python2.6 /Users/no/TowersCorvallis/main.py
***** Running the Towers of Corvallis with the following settings
***** VERBOSE = 	False
***** MODE = 		TIMING
***** FILENAME = 	perms-3.txt
***** NMAX = 	500
***** BEAM WIDTH = 30
***** SEARCH FN = A_STAR
***** HEURISTIC FN = WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG
***** PROBLEM Size = 10


***** Testing Timing, overriding certain flags
Search Function 	 Beam Width 	 Heuristic 	 Problem Size	Failures	Avg Solution Depth 	 Avg Nodes Expanded 	 Avg Heuristic Eval Time 	 Avg Total Time	Max Solution Depth 	 Max Nodes Expanded 	 Max Heuristic Eval Time 	 Max Total Time	Min Solution Depth 	 Min Nodes Expanded 	 Min Heuristic Eval Time 	 Min Total Time
BEAM	25	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	9	17 	3	63	0.00229195000011	0.29917405 	22	475	0.0155250000012	2.213971 	19	363	0.0150810000013	1.744692
BEAM	25	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	10	20
BEAM	50	MANHATTAN_DISTANCE_ALL_PEG	3	0 	5	6	6.8599999895e-05	0.00284939999988 	7	8	9.399999999e-05	0.00428799999986 	4	4	4.899999999e-05	0.00150799999983
BEAM	50	MANHATTAN_DISTANCE_ALL_PEG	4	0 	7	8	0.000124899999935	0.00619459999999 	10	15	0.000236999999743	0.012532 	4	4	5.60000003134e-05	0.00189100000011
BEAM	50	MANHATTAN_DISTANCE_ALL_PEG	5	0 	11	12	0.000240149999729	0.01368395 	15	16	0.000445999999329	0.0240659999999 	6	6	8.40000002427e-05	0.00319800000011
BEAM	50	MANHATTAN_DISTANCE_ALL_PEG	6	0 	14	16	0.0003430000001	0.0211913 	18	28	0.00060700000131	0.038542 	10	10	0.000203000000056	0.00974100000008
BEAM	50	MANHATTAN_DISTANCE_ALL_PEG	7	0 	16	18	0.000424949999842	0.02733555 	19	28	0.000725999999759	0.0482930000001 	13	13	0.000270999999884	0.014617
BEAM	50	MANHATTAN_DISTANCE_ALL_PEG	8	0 	19	25	0.00070105000018	0.05063135 	25	54	0.00166999999897	0.150235 	17	18	0.000458999999182	0.0303279999998
BEAM	50	MANHATTAN_DISTANCE_ALL_PEG	9	0 	23	31	0.00101104999974	0.0799755 	28	57	0.00206100000037	0.201484 	18	19	0.000504999999748	0.0327300000001
BEAM	50	MANHATTAN_DISTANCE_ALL_PEG	10	0 	26	42	0.00148480000046	0.12667265 	34	97	0.00407199999972	0.385347 	23	23	0.000678999999764	0.04863
BEAM	50	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	3	0 	5	15	0.000157000000036	0.00727039999997 	7	22	0.000206999999364	0.0105060000001 	4	9	0.000116000000617	0.00414799999999
BEAM	50	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	4	0 	7	56	0.000766049999845	0.0528563 	10	127	0.00143200000116	0.140382 	4	9	0.000164999999924	0.00491499999998
BEAM	50	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	5	5 	8	172	0.00313495000016	0.353463 	14	458	0.00836700000013	1.273827 	6	30	0.000555999999506	0.022594
BEAM	50	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	6	11 	5	152	0.00333859999969	0.43527485 	15	499	0.0104579999957	1.714056 	11	220	0.00474599999893	0.467794
BEAM	50	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	7	18 	1	44	0.00128325000026	0.17945815 	14	481	0.0132990000031	1.951874 	13	418	0.012366000002	1.637289
BEAM	50	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	8	20
BEAM	50	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	9	20
BEAM	50	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	10	20
BEAM	100	MANHATTAN_DISTANCE_ALL_PEG	3	0 	5	6	7.26000001578e-05	0.00326920000002 	7	8	0.000110000000404	0.00539900000012 	4	4	4.70000002224e-05	0.0014900000001
BEAM	100	MANHATTAN_DISTANCE_ALL_PEG	4	0 	7	8	0.000131900000065	0.00627510000003 	10	15	0.000226999999995	0.011049 	4	4	5.10000002123e-05	0.00148599999989
BEAM	100	MANHATTAN_DISTANCE_ALL_PEG	5	0 	11	12	0.000227900000061	0.012792 	15	16	0.000333000000182	0.019378 	6	6	8.59999997829e-05	0.00316699999985
BEAM	100	MANHATTAN_DISTANCE_ALL_PEG	6	0 	14	16	0.000345100000004	0.0215117 	18	28	0.000602999999501	0.037902 	10	10	0.000202999999601	0.00970400000006
BEAM	100	MANHATTAN_DISTANCE_ALL_PEG	7	0 	16	18	0.000444150000044	0.0282698 	19	28	0.000685000000431	0.0450520000002 	13	13	0.000269000000117	0.014482
BEAM	100	MANHATTAN_DISTANCE_ALL_PEG	8	0 	19	25	0.000689399999703	0.050672 	25	54	0.00172599999928	0.147264 	17	18	0.000439999999571	0.0269360000002
BEAM	100	MANHATTAN_DISTANCE_ALL_PEG	9	0 	23	31	0.00100869999999	0.07838275 	28	57	0.00209899999822	0.193921 	18	19	0.000557000000072	0.0360330000001
BEAM	100	MANHATTAN_DISTANCE_ALL_PEG	10	0 	26	40	0.00137874999989	0.1173934 	34	75	0.0030790000003	0.279523 	23	23	0.000658000001522	0.0483549999999
BEAM	100	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	3	0 	5	15	0.000174600000446	0.00802240000007 	7	22	0.00024899999994	0.012784 	4	9	0.000128000001041	0.00422100000014
BEAM	100	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	4	0 	7	56	0.000826850000146	0.0559166 	10	127	0.00159200000189	0.149401 	4	9	0.000163999999586	0.00471300000004
BEAM	100	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	5	1 	10	272	0.00482540000036	0.62734045 	12	494	0.00868999999989	1.447876 	6	30	0.000583000001143	0.0249720000002
BEAM	100	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	6	16 	2	70	0.00162869999936	0.2144402 	12	438	0.0108949999917	1.471049 	11	226	0.00505499999849	0.507527
BEAM	100	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	7	20
BEAM	100	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	8	20
BEAM	100	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	9	20
BEAM	100	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	10	20
A_STAR	5	MANHATTAN_DISTANCE_ALL_PEG	3	0 	5	6	6.73999999435e-05	0.00282839999995 	7	8	9.49999996465e-05	0.004234 	4	4	4.90000002173e-05	0.00150899999994
A_STAR	5	MANHATTAN_DISTANCE_ALL_PEG	4	0 	7	8	0.00013169999994	0.00612550000004 	10	15	0.00022100000001	0.0109240000002 	4	4	8.1999999793e-05	0.00208399999997
A_STAR	5	MANHATTAN_DISTANCE_ALL_PEG	5	0 	11	12	0.000228250000202	0.01271615 	15	16	0.000329000000647	0.0195079999999 	6	6	0.000100000000657	0.00357200000008
A_STAR	5	MANHATTAN_DISTANCE_ALL_PEG	6	0 	14	16	0.000346849999721	0.0214712 	18	28	0.000602999999046	0.0371250000001 	10	10	0.000201000000061	0.00971199999981
A_STAR	5	MANHATTAN_DISTANCE_ALL_PEG	7	0 	16	18	0.000456299999962	0.0295876 	19	28	0.000786000000289	0.0515169999999 	13	13	0.00026800000046	0.014574
A_STAR	5	MANHATTAN_DISTANCE_ALL_PEG	8	0 	19	25	0.000705500000151	0.05099955 	25	54	0.00159999999983	0.143676 	17	18	0.000472000000855	0.0305150000002
A_STAR	5	MANHATTAN_DISTANCE_ALL_PEG	9	0 	23	31	0.000986599999862	0.0776069 	28	57	0.00192099999822	0.193431 	18	19	0.000558000000183	0.0339719999999
A_STAR	5	MANHATTAN_DISTANCE_ALL_PEG	10	0 	26	40	0.00142514999985	0.1196321 	34	75	0.00296800000001	0.267151 	23	23	0.000664999999572	0.0492809999998
A_STAR	5	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	3	0 	5	15	0.000172000000202	0.00789120000004 	7	23	0.00022100000092	0.0115920000001 	4	9	0.000117999999929	0.00411899999995
A_STAR	5	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	4	0 	7	57	0.000798549999854	0.054209 	10	136	0.00158099999976	0.157291 	4	9	0.000151999999844	0.00447000000008
A_STAR	5	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	5	6 	7	163	0.00275295000018	0.3248069 	11	418	0.00703100000192	1.0699 	6	30	0.000542999999652	0.0212670000001
A_STAR	5	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	6	18 	1	29	0.000662149999982	0.08015595 	12	364	0.00820100000078	1.088569 	12	228	0.00504199999887	0.51455
A_STAR	5	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	7	20
A_STAR	5	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	8	20
A_STAR	5	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	9	20
A_STAR	5	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	10	20

Process finished with exit code 0
