/System/Library/Frameworks/Python.framework/Versions/2.6/bin/python2.6 /Users/no/TowersCorvallis/main.py
***** Running the Towers of Corvallis with the following settings
***** VERBOSE = 	False
***** MODE = 		TIMING
***** FILENAME = 	perms-10.txt
***** NMAX = 	2500
***** BEAM WIDTH = 5
***** SEARCH FN = BEAM
***** HEURISTIC FN = WEIGHTED_MANHATTAN_DISTANCE_ALL_PEG
***** PROBLEM Size = 10


***** Testing Timing, overriding certain flags
Search Function 	 Beam Width 	 Heuristic 	 Problem Size	Avg Solution Depth 	 Avg Nodes Expanded 	 Avg Heuristic Eval Time 	 Avg Total Time	Max Solution Depth 	 Max Nodes Expanded 	 Max Heuristic Eval Time 	 Max Total Time	Min Solution Depth 	 Min Nodes Expanded 	 Min Heuristic Eval Time 	 Min Total Time
BEAM	100	MANHATTAN_DISTANCE_ALL_PEG	8 	20	21	0.000546658039093	0.0434839606285 	28	31	0.000922203063965	0.0875911712646 	17	17	0.000330686569214	0.0224258899689
BEAM	100	MANHATTAN_DISTANCE_ALL_PEG	9 	24	27	0.000807332992554	0.0728371500969 	39	52	0.00179028511047	0.216106176376 	18	19	0.00050163269043	0.033812046051
BEAM	100	MANHATTAN_DISTANCE_ALL_PEG	10 	28	30	0.000925493240356	0.0880982279778 	39	49	0.00172472000122	0.193746089935 	23	23	0.000619888305664	0.0498869419098
A_STAR	5	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	3 	5	8	8.864402771e-05	0.00355639457703 	7	11	0.000112533569336	0.00483989715576 	4	5	7.31945037842e-05	0.00198793411255
A_STAR	5	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	4 	8	13	0.000202560424805	0.0100082993507 	11	23	0.000543117523193	0.0219819545746 	4	5	8.4400177002e-05	0.00201296806335
A_STAR	5	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	5 	11	19	0.000343477725983	0.0212715148926 	15	47	0.000770807266235	0.0728430747986 	6	11	0.000179052352905	0.0088369846344
A_STAR	5	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	6 	16	35	0.000791215896606	0.0642744421959 	26	125	0.00258040428162	0.299580097198 	11	15	0.000299453735352	0.0150318145752
A_STAR	5	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	7 	20	61	0.00137584209442	0.14215143919 	33	163	0.00341272354126	0.399375200272 	15	18	0.000473260879517	0.0243649482727
A_STAR	5	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	8 	27	117	0.00302090644836	0.596447789669 	48	481	0.0124571323395	3.58316612244 	17	21	0.000579595565796	0.030210018158
A_STAR	5	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	9 	34	201	0.00580393075943	1.27236405611 	47	749	0.0213210582733	6.86931800842 	24	35	0.0011146068573	0.0931890010834
A_STAR	5	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	10 	35	342	0.0108758091927	4.67281265259 	55	2500	0.0842037200928	63.0241529942 	0	34	0.00135707855225	0.0920341014862
A_STAR	5	MANHATTAN_DISTANCE_ALL_PEG	3 	5	5	6.03675842285e-05	0.00278296470642 	7	7	7.43865966797e-05	0.00390195846558 	4	4	4.64916229248e-05	0.00157380104065
A_STAR	5	MANHATTAN_DISTANCE_ALL_PEG	4 	7	8	0.000101900100708	0.00547270774841 	10	11	0.000167846679688	0.00967597961426 	4	4	4.00543212891e-05	0.00147390365601
A_STAR	5	MANHATTAN_DISTANCE_ALL_PEG	5 	11	11	0.000200808048248	0.012371301651 	15	15	0.000293254852295	0.018905878067 	6	6	7.58171081543e-05	0.0031259059906
A_STAR	5	MANHATTAN_DISTANCE_ALL_PEG	6 	13	14	0.000267767906189	0.0183697938919 	16	20	0.000375747680664	0.0280458927155 	10	10	0.000184774398804	0.00990414619446
